unit,theme,词类,词,pinyin,例句,English translation
3,身体·健康,形容词,胖,pàng,假期一过，我又胖了。,I gained weight again over the holiday.
3,身体·健康,形容词,瘦,shòu,她最近瘦了很多。,She has lost a lot of weight recently.
3,身体·健康,形容词,高,gāo,那栋楼真高。,That building is really tall.
3,身体·健康,形容词,矮,ǎi,我比哥哥矮一点。,I'm a little shorter than my older brother.
3,身体·健康,形容词,壮,zhuàng,他天天锻炼，身体很壮。,He works out every day and is very strong.
3,身体·健康,形容词,难受,nánshòu,晕车的感觉很难受。,Feeling carsick is awful.
4,饮食,名词,饭,fàn,饭好了，快来吃。,The food is ready. Come and eat.
4,饮食,名词,米饭,mǐfàn,再来一碗米饭。,I'd like another bowl of rice.
4,饮食,名词,面,miàn,我中午吃了一碗牛肉面。,I had a bowl of beef noodles for lunch.
4,饮食,名词,面条,miàntiáo,妈妈煮的面条特别香。,The noodles Mum cooked smell wonderful.
4,饮食,名词,菜,cài,今天的菜有点咸。,Today's dishes are a little salty.
4,饮食,名词,肉,ròu,他不吃肉，只吃素。,He doesn't eat meat; he's vegetarian.
4,饮食,名词,鱼,yú,这条鱼很新鲜。,This fish is very fresh.
4,饮食,名词,鸡,jī,外婆养了几只鸡。,Grandma keeps several chickens.
4,饮食,名词,鸡蛋,jīdàn,我早上吃了两个鸡蛋。,I ate two eggs this morning.
4,饮食,名词,猪肉,zhūròu,猪肉最近涨价了。,Pork has gone up in price recently.
4,饮食,名词,牛肉,niúròu,这家店的牛肉很嫩。,The beef at this restaurant is very tender.
4,饮食,名词,羊肉,yángròu,冬天吃羊肉火锅最舒服。,Hotpot with lamb is especially comforting in winter.
4,饮食,名词,虾,xiā,我对虾过敏。,I'm allergic to shrimp.
4,饮食,名词,青菜,qīngcài,多吃点青菜吧。,Eat some more green vegetables.
4,饮食,名词,蔬菜,shūcài,市场的蔬菜很便宜。,The vegetables at the market are very cheap.
4,饮食,名词,水果,shuǐguǒ,饭后吃点水果。,Have some fruit after your meal.
4,饮食,名词,苹果,píngguǒ,这个苹果很脆。,This apple is very crisp.
4,饮食,名词,香蕉,xiāngjiāo,香蕉熟得太快了。,Bananas ripen too quickly.
4,饮食,名词,橘子,júzi,橘子有点酸。,These oranges are a little sour.
4,饮食,名词,西瓜,xīguā,夏天就要吃冰西瓜。,Summer is the time for chilled watermelon.
4,饮食,名词,葡萄,pútao,这串葡萄真甜。,This bunch of grapes is so sweet.
4,饮食,名词,汤,tāng,先喝口汤吧。,Have some soup first.
4,饮食,名词,粥,zhōu,生病的时候喝点粥。,Have some porridge when you're ill.
4,饮食,名词,包子,bāozi,早上我买了两个肉包子。,I bought two meat buns this morning.
4,饮食,名词,饺子,jiǎozi,过年全家一起包饺子。,"At New Year, the whole family makes dumplings together."
4,饮食,名词,馒头,mántou,北方人爱吃馒头。,People in northern China like steamed buns.
4,饮食,名词,面包,miànbāo,面包刚烤好，还热着呢。,The bread has just come out of the oven and is still warm.
4,饮食,名词,蛋糕,dàngāo,生日蛋糕上有草莓。,There's a strawberry on the birthday cake.
4,饮食,名词,糖,táng,咖啡里要加糖吗？,Would you like sugar in your coffee?
4,饮食,名词,盐,yán,汤里盐放多了。,I put too much salt in the soup.
4,饮食,名词,油,yóu,少放点油更健康。,Using less oil is healthier.
4,饮食,名词,酱油,jiàngyóu,蘸一点酱油更好吃。,It tastes better with a little soy sauce for dipping.
4,饮食,名词,醋,cù,吃饺子我喜欢加醋。,I like adding vinegar when I eat dumplings.
4,饮食,名词,水,shuǐ,请给我一杯水。,Please give me a glass of water.
4,饮食,名词,茶,chá,我爸爱喝绿茶。,My dad likes drinking green tea.
4,饮食,名词,咖啡,kāfēi,早上不喝咖啡我没精神。,I have no energy in the morning without coffee.
4,饮食,名词,牛奶,niúnǎi,睡前喝杯牛奶。,Have a glass of milk before bed.
4,饮食,名词,果汁,guǒzhī,这杯果汁是鲜榨的。,This juice is freshly squeezed.
4,饮食,名词,酒,jiǔ,开车不能喝酒。,Don't drink alcohol if you're driving.
4,饮食,名词,啤酒,píjiǔ,天热来杯冰啤酒。,Have an ice-cold beer when it's hot.
4,饮食,名词,饮料,yǐnliào,少喝甜饮料。,Drink fewer sugary drinks.
4,饮食,名词,味道,wèidào,这道菜味道不错。,This dish tastes good.
4,饮食,名词,早餐,zǎocān,早餐一定要吃好。,You should have a good breakfast.
4,饮食,名词,午餐,wǔcān,我们午餐吃什么？,What shall we have for lunch?
4,饮食,名词,晚餐,wǎncān,今天的晚餐我来做。,I'll make dinner today.
4,饮食,名词,零食,língshí,看电影少不了零食。,You can't watch a film without snacks.
4,饮食,名词,餐厅,cāntīng,这家餐厅要排队。,You have to queue at this restaurant.
4,饮食,名词,饭店,fàndiàn,楼下新开了一家饭店。,A new restaurant has opened downstairs.
4,饮食,名词,食堂,shítáng,学校食堂的菜挺便宜。,The food in the school cafeteria is quite cheap.
4,饮食,名词,厨房,chúfáng,厨房里飘出香味。,A delicious smell is coming from the kitchen.
4,饮食,名词,外卖,wàimài,下雨天我们点外卖吧。,Let's order takeaway on this rainy day.
4,饮食,动词,吃,chī,你早饭吃了吗？,Have you had breakfast?
4,饮食,动词,喝,hē,天热要多喝水。,Drink plenty of water when it's hot.
4,饮食,动词,尝,cháng,你尝尝这个汤。,Try this soup.
4,饮食,动词,做饭,zuòfàn,今天轮到我做饭。,It's my turn to cook today.
4,饮食,动词,煮,zhǔ,我去煮点面。,I'll go and cook some noodles.
4,饮食,动词,炒,chǎo,这个菜要大火快炒。,This dish needs to be stir-fried quickly over high heat.
4,饮食,动词,蒸,zhēng,鱼蒸十分钟就熟了。,The fish will be done after steaming for ten minutes.
4,饮食,动词,烤,kǎo,周末我们烤肉吧。,Let's have a barbecue this weekend.
4,饮食,动词,切,qiē,小心别切到手。,Be careful not to cut your hand.
4,饮食,动词,点,diǎn,你来点菜吧。,You can order the dishes.
4,饮食,动词,请客,qǐngkè,今天我请客，随便点。,"It's my treat today, so order whatever you like."
4,饮食,量词,杯,bēi,请来两杯咖啡。,"Two coffees, please."
4,饮食,量词,碗,wǎn,我能再来一碗吗？,Could I have another bowl?
4,饮食,量词,盘,pán,桌上有一盘水果。,There's a plate of fruit on the table.
4,饮食,量词,瓶,píng,买一瓶矿泉水。,Buy a bottle of mineral water.
4,饮食,量词,份,fèn,我们要了两份炒饭。,We ordered two portions of fried rice.
4,饮食,量词,片,piàn,面包上放两片火腿。,Put two slices of ham on the bread.
4,饮食,量词,口,kǒu,我就尝了一口。,I only had one bite.
4,饮食,量词,顿,dùn,我们好好吃一顿吧。,Let's have a proper meal together.
4,饮食,形容词,甜,tián,这个西瓜真甜。,This watermelon is really sweet.
4,饮食,形容词,咸,xián,火腿有点咸。,The ham is a little salty.
4,饮食,形容词,辣,là,四川菜太辣了。,Sichuan food is too spicy.
4,饮食,形容词,酸,suān,柠檬特别酸。,Lemons are very sour.
4,饮食,形容词,苦,kǔ,这个药有点苦。,This medicine is a little bitter.
4,饮食,形容词,香,xiāng,米饭闻起来真香。,The rice smells delicious.
4,饮食,形容词,好吃,hǎochī,你做的菜真好吃。,The food you made is really tasty.
4,饮食,形容词,新鲜,xīnxiān,早市的鱼最新鲜。,The fish at the morning market is the freshest.
4,饮食,形容词,烫,tàng,小心，汤很烫。,"Be careful, the soup is very hot."
5,居家·物品,名词,家,jiā,我到家了，你放心吧。,"I'm home, so don't worry."
5,居家·物品,名词,房子,fángzi,他们在看新房子。,They're looking at new houses.
5,居家·物品,名词,房间,fángjiān,我的房间朝南，很亮。,My room faces south and gets lots of light.
5,居家·物品,名词,屋子,wūzi,屋子里暖和多了。,The room feels much warmer now.
5,居家·物品,名词,门,mén,出门记得锁门。,Remember to lock the door when you leave.
5,居家·物品,名词,窗户,chuānghu,打开窗户透透气。,Open the window to let in some fresh air.
5,居家·物品,名词,墙,qiáng,墙上挂着全家福。,A family portrait hangs on the wall.
5,居家·物品,名词,楼,lóu,我住在五楼。,I live on the fifth floor.
5,居家·物品,名词,楼梯,lóutī,电梯坏了，走楼梯吧。,"The lift is broken, so let's take the stairs."
5,居家·物品,名词,客厅,kètīng,客人都坐在客厅里。,The guests are all sitting in the living room.
5,居家·物品,名词,卧室,wòshì,卧室里只有一张床。,There's only one bed in the bedroom.
5,居家·物品,名词,厕所,cèsuǒ,请问厕所怎么走？,"Excuse me, how do I get to the toilet?"
5,居家·物品,名词,卫生间,wèishēngjiān,卫生间刚打扫过。,The bathroom has just been cleaned.
5,居家·物品,名词,床,chuáng,这张床太软了。,This bed is too soft.
5,居家·物品,名词,桌子,zhuōzi,把书放在桌子上吧。,Put the book on the table.
5,居家·物品,名词,椅子,yǐzi,这把椅子有点晃。,This chair wobbles a little.
5,居家·物品,名词,沙发,shāfā,猫在沙发上睡觉。,The cat is sleeping on the sofa.
5,居家·物品,名词,柜子,guìzi,碗都在柜子里。,The bowls are all in the cupboard.
5,居家·物品,名词,灯,dēng,出门前记得关灯。,Remember to turn off the lights before you leave.
5,居家·物品,名词,电视,diànshì,爷爷在看电视新闻。,Grandpa is watching the TV news.
5,居家·物品,名词,冰箱,bīngxiāng,冰箱里还有西瓜。,There's still watermelon in the fridge.
5,居家·物品,名词,空调,kōngtiáo,太热了，开空调吧。,It's too hot. Let's turn on the air conditioning.
5,居家·物品,名词,洗衣机,xǐyījī,洗衣机响了，衣服洗好了。,The washing machine has finished; the clothes are done.
5,居家·物品,名词,钟,zhōng,墙上的钟慢了五分钟。,The clock on the wall is five minutes slow.
5,居家·物品,名词,表,biǎo,他的表是爷爷留下的。,This watch was left to him by his grandfather.
5,居家·物品,名词,镜子,jìngzi,她照着镜子试帽子。,She's trying on hats in front of the mirror.
5,居家·物品,名词,毛巾,máojīn,用干净的毛巾擦手。,Use a clean towel to dry your hands.
5,居家·物品,名词,牙刷,yáshuā,我的牙刷该换了。,I need to replace my toothbrush.
5,居家·物品,名词,肥皂,féizào,用肥皂好好洗手。,Wash your hands thoroughly with soap.
5,居家·物品,名词,被子,bèizi,天冷了，换厚被子吧。,It's getting cold. Let's change to a thicker quilt.
5,居家·物品,名词,枕头,zhěntou,这个枕头太高了。,This pillow is too high.
5,居家·物品,名词,刀,dāo,这把刀不太快了。,This knife isn't very sharp anymore.
5,居家·物品,名词,勺子,sháozi,宝宝会自己用勺子了。,The baby can use a spoon by herself now.
5,居家·物品,名词,筷子,kuàizi,你会用筷子吗？,Can you use chopsticks?
5,居家·物品,名词,盘子,pánzi,盘子洗好了放在架子上。,Put the washed plates on the rack.
5,居家·物品,名词,杯子,bēizi,我的杯子是蓝色的。,My cup is blue.
5,居家·物品,名词,瓶子,píngzi,空瓶子可以回收。,Empty bottles can be recycled.
5,居家·物品,名词,锅,guō,锅里还热着菜呢。,There's still hot food in the pot.
5,居家·物品,名词,垃圾,lājī,出门时顺便扔垃圾。,Take out the rubbish on your way out.
5,居家·物品,名词,纸,zhǐ,桌上有纸和笔。,There's paper and a pen on the table.
5,居家·物品,名词,笔,bǐ,我的笔没水了。,My pen has run out of ink.
